rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,track_id,rank_tier,popularity,duration_ms,explicit,album_type,total_tracks,duration_min
3,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,4,32,468947,7,0T1CzbjyOEU60cL5G244di,Top 10,67.939595178192,125454,True,single,1,2.0909
4,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,3,118,462390,7,35eK52MQkpWLxwyIAGKKXT,Top 10,66.71850004748808,147692,True,single,1,2.461533333333333
5,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,23,386996,7,2ZxulKXVUpatqUe0quNMtP,Top 10,52.67804766312151,182000,True,single,1,3.033333333333333
6,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,6,114,363654,7,7EyB1sN9IUO1YXIoHTyZRk,Top 10,48.33112032731383,141389,False,album,25,2.3564833333333333
7,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,7,68,355973,7,3Bu67MTSsLLJNyZ8qg3itI,Top 10,46.9007052443587,164986,True,album,14,2.7497666666666665
8,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,13,191,301342,7,0wLCA75tmsos5ZcVzqHFQ1,Top 10,36.72689891745829,158859,False,album,18,2.64765
9,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,9,23,300705,7,5UpupDvr2w93ccnEmmhS5q,Top 10,36.60827186266823,183307,False,single,1,3.0551166666666667
10,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,8,93,291481,7,4eGoCBOGEAQty5nfWRC0VD,Top 10,34.8905074146565,201103,False,single,1,3.3517166666666665
11,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,11,11,20,275903,7,5yVEQgC0GuEvvEcv9D8NpG,Top 25,31.98945206219261,125179,False,single,1,2.086316666666667
12,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,12,236,274356,7,4ffqxU54Ll4YRz5NVBe77w,Top 25,31.7013577862739,174493,True,album,17,2.9082166666666667
13,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,16,163,229921,7,3qhlB30KknSejmIvZZLjOD,Top 25,23.426329246876495,159245,False,album,13,2.6540833333333333
14,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,14,30,228494,7,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,23.160582296820905,152282,True,album,16,2.5380333333333334
15,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,18,128,228174,7,53iuhJlwXhSER5J2IYYv1W,Top 25,23.10098942785259,226073,False,album,12,3.767883333333333
16,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,12,17,142,226460,7,55lijDD6OAjLFFUHU9tcDm,Top 25,22.78179512344104,196795,False,single,1,3.279916666666667
17,spotify:track:5dnM53F6iHQZbyu8k5HUSg,"Soolking, L2B",Tour du monde,Universal Music MENA Distributed Labels,5,19,198,223072,7,5dnM53F6iHQZbyu8k5HUSg,Top 25,22.150855623238986,171489,False,album,15,2.85815
18,spotify:track:4zipUPcZZkWmxn2TEMummt,"La Rvfleuze, Freeze corleone",Serrure #667,SERRURE RECORDS / ATLANTIC FRANCE,15,15,2,211486,7,4zipUPcZZkWmxn2TEMummt,Top 25,19.993221311154855,147810,True,single,1,2.4635
19,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,20,386,201165,7,3sK8wGT43QFpWrvNQsrQya,Top 25,18.071165059211104,237117,True,album,17,3.95195
20,spotify:track:29rkopcjI0XyhncrHOdWm0,Ashvma,FOCUS,PDS RECORDS,15,21,50,200063,7,29rkopcjI0XyhncrHOdWm0,Top 25,17.86594211670146,138005,False,single,1,2.3000833333333333
21,spotify:track:1LmeIVvg4CVTu6kicEVoAr,"Theodora, Jul",ZOU BISOU,Virgin Records FR LAS (S&D),6,24,254,191853,7,1LmeIVvg4CVTu6kicEVoAr,Top 25,16.337012572233075,162041,True,album,25,2.700683333333333
22,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,23,149,190347,7,6QQGjrXpBQjVTdSGaOUyRt,Top 25,16.05655363265093,160000,True,album,19,2.6666666666666665
23,spotify:track:2hndzMd89P8nEG4jTRurPk,RnBoi,BTRD,DOUBLE JEU RECORDS,7,22,222,189461,7,2hndzMd89P8nEG4jTRurPk,Top 25,15.891555876694904,140487,False,single,1,2.34145
24,spotify:track:3kql0qldZ3x5qUxwmUgYGa,Nono La Grinta,Paris,MPR Records,1,26,311,187454,7,3kql0qldZ3x5qUxwmUgYGa,Top 25,15.517796851634241,172259,True,album,9,2.870983333333333
25,spotify:track:4R0HXKZBeDJerIq9oCnDIp,Bouss,Biff pas d'love,Le Grand Carré / Level Up Music,4,27,152,186114,7,4R0HXKZBeDJerIq9oCnDIp,Top 25,15.268251712829414,154455,True,album,43,2.57425
26,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,20,25,44,174237,7,3oTuTpF1F3A7rEC6RKsMRz,Top 50,13.056425135527219,219743,False,album,10,3.6623833333333335
27,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,36,236,170409,7,7xWvRVssTTECvWCDNgCzSH,Top 50,12.343545440493726,246000,False,single,1,4.1
28,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,34,228,168922,7,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,12.066624827506578,194607,False,album,12,3.24345
29,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,25,52,51,167021,7,3vJIaiTIHxHhYafTSPNiH4,Top 50,11.71260594029167,190822,False,album,24,3.1803666666666666
30,spotify:track:6X81J6gmOMkJI3mo49NCPk,K2_sp,NOUS#2,10704286 Records DK,19,33,33,166593,7,6X81J6gmOMkJI3mo49NCPk,Top 50,11.632900478046546,177761,True,single,1,2.962683333333333
31,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,29,78,165684,7,0MsHYntRES1QW1VtuhfdUk,Top 50,11.46361948463342,172258,True,album,15,2.8709666666666664
32,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,30,208,162206,7,3MNBUdX7zP4E0UhlfYenMf,Top 50,10.815919490034023,199826,True,album,14,3.330433333333333
33,spotify:track:74bFjTmlTbZVH9lG3EH7C2,La Rvfleuze,Serrure #5,SERRURE RECORDS,5,40,177,159589,7,74bFjTmlTbZVH9lG3EH7C2,Top 50,10.328561558502505,138591,True,single,1,2.30985
34,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,10,47,331,158016,7,2RkZ5LkEzeHGRsmDqKwmaJ,Top 50,10.035625361980122,186964,False,album,11,3.1160666666666668
35,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,42,134,157163,7,1xOqGUkyxGQRdCvGpvWKmL,Top 50,9.876773120636452,197226,False,single,2,3.2871
36,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,21,37,202,157155,7,1rIKgCH4H52lrvDcz50hS8,Top 50,9.875283298912244,200646,False,album,15,3.3441
37,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,10,31,313,155145,7,5TFD2bmFKGhoCRbX61nXY5,Top 50,9.500965590705002,183685,False,album,17,3.0614166666666667
38,spotify:track:3ReDT1HLea9eTWEPtwE7fP,"GP Explorer, Anyme023",Toute la nuit,Maison Baron Rouge,4,41,128,154835,7,3ReDT1HLea9eTWEPtwE7fP,Top 50,9.443234998891944,198693,True,album,15,3.31155
39,spotify:track:68oBz6xab6ATAobLCbtZXX,Ronisia,Solide,Epic,27,32,77,153128,7,68oBz6xab6ATAobLCbtZXX,Top 50,9.125344288489078,212400,False,single,5,3.54
40,spotify:track:66ku4Gq4k5xUqdVL4Oam2r,Werenoi,Poney,PLR Music / PGP Records,4,50,303,153039,7,66ku4Gq4k5xUqdVL4Oam2r,Top 50,9.108770021807265,230000,True,album,17,3.8333333333333335
41,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,31,35,50,151577,7,7l3b0X95GdYfRuW8Kq5ixC,Top 50,8.836505101708267,150476,True,album,8,2.5079333333333333
42,spotify:track:6OuhnnHBGG1tKWCpi8nOlM,"RK, Genezio",VIANO,Hyper Focal Music / Family and Co Productions,2,38,203,149104,7,6OuhnnHBGG1tKWCpi8nOlM,Top 50,8.375963961212491,111764,False,album,12,1.8627333333333331
43,spotify:track:6gbjCQOsWJZnXSkHDu27FW,Booba,Seychelles,Universal Music Distribution Deal,10,10,2,148697,7,6gbjCQOsWJZnXSkHDu27FW,Top 50,8.300169280993414,158332,True,single,1,2.6388666666666665
44,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,43,299,147608,7,6wggq2ikhLMnS0o1deK2Xz,Top 50,8.097367298785608,184988,True,album,13,3.083133333333333
45,spotify:track:3XHcbhTEqJ21TTkQFUe6bG,"GP Explorer, GIMS, La Mano 1.9, SCH",Un monde à l'autre,Maison Baron Rouge,1,44,150,146042,7,3XHcbhTEqJ21TTkQFUe6bG,Top 50,7.805734696271907,155965,True,album,15,2.5994166666666665
46,spotify:track:65lCFhOz5RyYH52JryAf10,"Meryl, Eva",Coco Chanel,Maison Caviar,19,39,72,144353,7,65lCFhOz5RyYH52JryAf10,Top 50,7.491196084748508,130800,True,album,17,2.18
47,spotify:track:12bYYQaLqHliSXvRIYlq8G,Bruno Mars,I Just Might,Atlantic Records,23,51,30,142953,7,12bYYQaLqHliSXvRIYlq8G,Top 50,7.230477283012121,212973,False,single,1,3.54955
48,spotify:track:3zs1RJzrhgt0JsNsPopubX,"Le Crime, Leto",Ballon D'or,Play Two,16,49,81,141995,7,3zs1RJzrhgt0JsNsPopubX,Top 50,7.052071131538222,206250,True,album,20,3.4375
49,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,4,48,1046,140501,7,5kfAx6phDHPpz5g8IAPyc2,Top 50,6.773846924542391,212093,True,album,18,3.534883333333333
50,spotify:track:1qbmS6ep2hbBRaEZFpn7BX,Olivia Dean,Man I Need,PLG - Capitol,27,46,143,138244,7,1qbmS6ep2hbBRaEZFpn7BX,Top 50,6.353530970600231,184000,False,single,3,3.066666666666667
1,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,136,488408,8,55vPnuXfuzXNW75JpuSczF,Top 10,71.5637727500433,176213,False,album,20,2.9368833333333333
2,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,108,448514,8,1yGJ40k7HLF3odITZPoQs4,Top 10,64.13440426684942,130500,False,single,1,2.175
3,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,3,33,390561,8,0T1CzbjyOEU60cL5G244di,Top 10,53.34194946897167,125454,True,single,1,2.0909
4,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,4,119,379829,8,35eK52MQkpWLxwyIAGKKXT,Top 10,51.34335362594673,147692,True,single,1,2.461533333333333
5,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,24,308986,8,2ZxulKXVUpatqUe0quNMtP,Top 10,38.15042357493896,182000,True,single,1,3.033333333333333
6,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,7,69,300802,8,3Bu67MTSsLLJNyZ8qg3itI,Top 10,36.62633595107426,164986,True,album,14,2.7497666666666665
7,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,6,115,284752,8,7EyB1sN9IUO1YXIoHTyZRk,Top 10,33.6373811168821,141389,False,album,25,2.3564833333333333
8,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,8,192,242507,8,0wLCA75tmsos5ZcVzqHFQ1,Top 10,25.770191274486614,158859,False,album,18,2.64765
9,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,9,24,233320,8,5UpupDvr2w93ccnEmmhS5q,Top 10,24.059317251949338,183307,False,single,1,3.0551166666666667
10,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,10,94,226997,8,4eGoCBOGEAQty5nfWRC0VD,Top 10,22.8817994066785,201103,False,single,1,3.3517166666666665
11,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,12,237,219871,8,4ffqxU54Ll4YRz5NVBe77w,Top 25,21.554740705840285,174493,True,album,17,2.9082166666666667
12,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,11,11,21,214836,8,5yVEQgC0GuEvvEcv9D8NpG,Top 25,20.617084158166925,125179,False,single,1,2.086316666666667
13,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,7,13,164,185413,8,3qhlB30KknSejmIvZZLjOD,Top 25,15.137706084245695,159245,False,album,13,2.6540833333333333
14,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,19,387,182891,8,3sK8wGT43QFpWrvNQsrQya,Top 25,14.668039785689144,237117,True,album,17,3.95195
15,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,12,16,143,180159,8,55lijDD6OAjLFFUHU9tcDm,Top 25,14.159265666872138,196795,False,single,1,3.279916666666667
16,spotify:track:1VBKQJ5AVNKROv0WJ2h4ZK,"Ninho, Tiakola",LES DIAMANTS DE BOKASSA,Rec. 118/Jefe Production,3,14,31,178166,8,1VBKQJ5AVNKROv0WJ2h4ZK,Top 25,13.788113829828838,152282,True,album,16,2.5380333333333334
17,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,15,129,175271,8,53iuhJlwXhSER5J2IYYv1W,Top 25,13.248984593381094,226073,False,album,12,3.767883333333333
18,spotify:track:4zipUPcZZkWmxn2TEMummt,"La Rvfleuze, Freeze corleone",Serrure #667,SERRURE RECORDS / ATLANTIC FRANCE,15,18,3,169290,8,4zipUPcZZkWmxn2TEMummt,Top 25,12.135156626820143,147810,True,single,1,2.4635
19,spotify:track:5dnM53F6iHQZbyu8k5HUSg,"Soolking, L2B",Tour du monde,Universal Music MENA Distributed Labels,5,17,199,166733,8,5dnM53F6iHQZbyu8k5HUSg,Top 25,11.658972358220185,171489,False,album,15,2.85815
20,spotify:track:3kql0qldZ3x5qUxwmUgYGa,Nono La Grinta,Paris,MPR Records,1,24,312,158928,8,3kql0qldZ3x5qUxwmUgYGa,Top 25,10.205465038539826,172259,True,album,9,2.870983333333333
21,spotify:track:6QQGjrXpBQjVTdSGaOUyRt,"La Fouine, L2B",Flying Blue,Play Two,14,22,150,156853,8,6QQGjrXpBQjVTdSGaOUyRt,Top 25,9.819042528823395,160000,True,album,19,2.6666666666666665
22,spotify:track:29rkopcjI0XyhncrHOdWm0,Ashvma,FOCUS,PDS RECORDS,15,20,51,156830,8,29rkopcjI0XyhncrHOdWm0,Top 25,9.814759291366297,138005,False,single,1,2.3000833333333333
23,spotify:track:74bFjTmlTbZVH9lG3EH7C2,La Rvfleuze,Serrure #5,SERRURE RECORDS,5,33,178,153659,8,74bFjTmlTbZVH9lG3EH7C2,Top 25,9.22423120543338,138591,True,single,1,2.30985
24,spotify:track:2hndzMd89P8nEG4jTRurPk,RnBoi,BTRD,DOUBLE JEU RECORDS,7,23,223,153084,8,2hndzMd89P8nEG4jTRurPk,Top 25,9.117150269005935,140487,False,single,1,2.34145
25,spotify:track:1LmeIVvg4CVTu6kicEVoAr,"Theodora, Jul",ZOU BISOU,Virgin Records FR LAS (S&D),6,21,255,151403,8,1LmeIVvg4CVTu6kicEVoAr,Top 25,8.804101479206745,162041,True,album,25,2.700683333333333
26,spotify:track:4R0HXKZBeDJerIq9oCnDIp,Bouss,Biff pas d'love,Le Grand Carré / Level Up Music,4,25,153,144633,8,4R0HXKZBeDJerIq9oCnDIp,Top 50,7.543339845095787,154455,True,album,43,2.57425
27,spotify:track:3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),Neighbourhood,20,26,45,144073,8,3oTuTpF1F3A7rEC6RKsMRz,Top 50,7.439052324401231,219743,False,album,10,3.6623833333333335
28,spotify:track:7xWvRVssTTECvWCDNgCzSH,"Bleu Soleil, LUIZA",Soleil Bleu,Wagram Music / Chapter Two Records,2,27,237,142989,8,7xWvRVssTTECvWCDNgCzSH,Top 50,7.237181480771057,246000,False,single,1,4.1
29,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,10,37,314,139655,8,5TFD2bmFKGhoCRbX61nXY5,Top 50,6.616298277207404,183685,False,album,17,3.0614166666666667
30,spotify:track:6X81J6gmOMkJI3mo49NCPk,K2_sp,NOUS#2,10704286 Records DK,19,30,34,137205,8,6X81J6gmOMkJI3mo49NCPk,Top 50,6.160040374168726,177761,True,single,1,2.962683333333333
31,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,21,36,203,137038,8,1rIKgCH4H52lrvDcz50hS8,Top 50,6.128940345675885,200646,False,album,15,3.3441
32,spotify:track:3MNBUdX7zP4E0UhlfYenMf,Werenoi,Jamal,PGP Records,20,32,209,135792,8,3MNBUdX7zP4E0UhlfYenMf,Top 50,5.896900612130501,199826,True,album,14,3.330433333333333
33,spotify:track:0MsHYntRES1QW1VtuhfdUk,Timar,SIERRA LEONE,Universal Music Division Virgin Records,12,31,79,134397,8,0MsHYntRES1QW1VtuhfdUk,Top 50,5.637112948971744,172258,True,album,15,2.8709666666666664
34,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,10,34,332,128448,8,2RkZ5LkEzeHGRsmDqKwmaJ,Top 50,4.529244269307624,186964,False,album,11,3.1160666666666668
35,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,6,28,229,128421,8,1CPZ5BxNNd0n0nF4Orb9JS,Top 50,4.524216120988422,194607,False,album,12,3.24345
36,spotify:track:2Gysuuhf0SEoIsEiRuLVcY,Theodora,Des mythos,Virgin Records FR LAS (S&D),28,79,3,128067,8,2Gysuuhf0SEoIsEiRuLVcY,Top 50,4.458291509692222,177601,True,single,1,2.9600166666666667
37,spotify:track:3zs1RJzrhgt0JsNsPopubX,"Le Crime, Leto",Ballon D'or,Play Two,16,48,82,126583,8,3zs1RJzrhgt0JsNsPopubX,Top 50,4.181929579851651,206250,True,album,20,3.4375
38,spotify:track:3vJIaiTIHxHhYafTSPNiH4,"Disney, Shakira",Zoo,Walt Disney Records,25,29,52,126436,8,3vJIaiTIHxHhYafTSPNiH4,Top 50,4.15455410566933,190822,False,album,24,3.1803666666666666
39,spotify:track:66ku4Gq4k5xUqdVL4Oam2r,Werenoi,Poney,PLR Music / PGP Records,4,40,304,124407,8,66ku4Gq4k5xUqdVL4Oam2r,Top 50,3.7766980708670945,230000,True,album,17,3.8333333333333335
40,spotify:track:6OuhnnHBGG1tKWCpi8nOlM,"RK, Genezio",VIANO,Hyper Focal Music / Family and Co Productions,2,42,204,123704,8,6OuhnnHBGG1tKWCpi8nOlM,Top 50,3.645779986852323,111764,False,album,12,1.8627333333333331
41,spotify:track:6wggq2ikhLMnS0o1deK2Xz,Theodora,FASHION DESIGNA,Maison Neptune X NBFD,10,44,300,122479,8,6wggq2ikhLMnS0o1deK2Xz,Top 50,3.4176510353329843,184988,True,album,13,3.083133333333333
42,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,4,49,1047,122252,8,5kfAx6phDHPpz5g8IAPyc2,Top 50,3.3753773439085846,212093,True,album,18,3.534883333333333
43,spotify:track:7l3b0X95GdYfRuW8Kq5ixC,Bilouki,Tchébé 2x,MK9,31,41,51,120449,8,7l3b0X95GdYfRuW8Kq5ixC,Top 50,3.0396087728152232,150476,True,album,8,2.5079333333333333
44,spotify:track:68oBz6xab6ATAobLCbtZXX,Ronisia,Solide,Epic,27,39,78,120062,8,68oBz6xab6ATAobLCbtZXX,Top 50,2.9675386469066645,212400,False,single,5,3.54
45,spotify:track:3ReDT1HLea9eTWEPtwE7fP,"GP Explorer, Anyme023",Toute la nuit,Maison Baron Rouge,4,38,129,118653,8,3ReDT1HLea9eTWEPtwE7fP,Top 50,2.7051437957305433,198693,True,album,15,3.31155
46,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,21,35,135,117142,8,1xOqGUkyxGQRdCvGpvWKmL,Top 50,2.4237537175707713,197226,False,single,2,3.2871
47,spotify:track:3XHcbhTEqJ21TTkQFUe6bG,"GP Explorer, GIMS, La Mano 1.9, SCH",Un monde à l'autre,Maison Baron Rouge,1,45,151,113052,8,3XHcbhTEqJ21TTkQFUe6bG,Top 50,1.6620823610694686,155965,True,album,15,2.5994166666666665
48,spotify:track:6gbjCQOsWJZnXSkHDu27FW,Booba,Seychelles,Universal Music Distribution Deal,10,43,3,112468,8,6gbjCQOsWJZnXSkHDu27FW,Top 50,1.55332537520229,158332,True,single,1,2.6388666666666665
49,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,15,64,88,112228,8,2lTm559tuIvatlT1u0JYG2,Top 50,1.508630723476052,367725,True,album,17,6.12875
50,spotify:track:0Jh6iWjna1wk5le0Ahn7No,Ninho,La vie qu'on mène,Rec. 118 / Mal Luné Music,2,55,2516,111290,8,0Jh6iWjna1wk5le0Ahn7No,Top 50,1.3339491263126726,193443,False,album,18,3.22405
1,spotify:track:55vPnuXfuzXNW75JpuSczF,"disiz, Theodora",melodrama,Carré Bleu Production,1,1,137,488154,9,55vPnuXfuzXNW75JpuSczF,Top 10,71.5164709102997,176213,False,album,20,2.9368833333333333
2,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,14,388,458999,9,3sK8wGT43QFpWrvNQsrQya,Top 10,66.08700186413942,237117,True,album,17,3.95195
3,spotify:track:1yGJ40k7HLF3odITZPoQs4,RnBoi,MON BÉBÉ,DOUBLE JEU RECORDS,1,2,109,442931,9,1yGJ40k7HLF3odITZPoQs4,Top 10,63.09469493106781,130500,False,single,1,2.175
4,spotify:track:35eK52MQkpWLxwyIAGKKXT,Nono La Grinta,LOVE YOU,MPR Records,3,4,120,414264,9,35eK52MQkpWLxwyIAGKKXT,Top 10,57.756105010084234,147692,True,single,1,2.461533333333333
5,spotify:track:0T1CzbjyOEU60cL5G244di,Rambo goyard,B.M.S (by my side),Universal Music Division Capitol Music France,2,3,34,404906,9,0T1CzbjyOEU60cL5G244di,Top 10,56.013386048192004,125454,True,single,1,2.0909
6,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,6,29,315,402355,9,5TFD2bmFKGhoCRbX61nXY5,Top 10,55.538319145885204,183685,False,album,17,3.0614166666666667
7,spotify:track:2ZxulKXVUpatqUe0quNMtP,"RnBoi, Nono La Grinta",AVEC MOI,DOUBLE JEU RECORDS,4,5,25,337624,9,2ZxulKXVUpatqUe0quNMtP,Top 10,43.48361289217229,182000,True,single,1,3.033333333333333
8,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,8,49,89,330551,9,2lTm559tuIvatlT1u0JYG2,Top 10,42.16642426025696,367725,True,album,17,6.12875
9,spotify:track:3Bu67MTSsLLJNyZ8qg3itI,"Genezio, Niska",OG,LOSSA RECORDS,5,6,70,304182,9,3Bu67MTSsLLJNyZ8qg3itI,Top 10,37.2557856295521,164986,True,album,14,2.7497666666666665
10,spotify:track:7EyB1sN9IUO1YXIoHTyZRk,"Franglish, KeBlack",Génération impolie,Lutece Music,3,7,116,277226,9,7EyB1sN9IUO1YXIoHTyZRk,Top 10,32.235831329833495,141389,False,album,25,2.3564833333333333
11,spotify:track:4ffqxU54Ll4YRz5NVBe77w,R2,RUINART,Label Blue Sky,1,11,238,233661,9,4ffqxU54Ll4YRz5NVBe77w,Top 25,24.1228209029437,174493,True,album,17,2.9082166666666667
12,spotify:track:5UpupDvr2w93ccnEmmhS5q,"GIMS, Theodora",SPA,Black Belt,5,9,25,230707,9,5UpupDvr2w93ccnEmmhS5q,Top 25,23.572704231279925,183307,False,single,1,3.0551166666666667
13,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,13,132,29,221607,9,6J5kc12BW5HuP3d7C3vvx8,Top 25,21.878032019993405,204768,True,album,17,3.4128
14,spotify:track:5yVEQgC0GuEvvEcv9D8NpG,WIXO & LA2S,GMK,Quality No Stress,11,12,22,215004,9,5yVEQgC0GuEvvEcv9D8NpG,Top 25,20.64837041437529,125179,False,single,1,2.086316666666667
15,spotify:track:4eGoCBOGEAQty5nfWRC0VD,"GIMS, L2B",BLOQUÉ,Play Two,6,10,95,214385,9,4eGoCBOGEAQty5nfWRC0VD,Top 25,20.5330954584647,201103,False,single,1,3.3517166666666665
16,spotify:track:0wLCA75tmsos5ZcVzqHFQ1,"GIMS, La Mano 1.9",PARISIENNE,Play Two,1,8,193,211805,9,0wLCA75tmsos5ZcVzqHFQ1,Top 25,20.052627952407644,158859,False,album,18,2.64765
17,spotify:track:4zipUPcZZkWmxn2TEMummt,"La Rvfleuze, Freeze corleone",Serrure #667,SERRURE RECORDS / ATLANTIC FRANCE,15,18,4,209134,9,4zipUPcZZkWmxn2TEMummt,Top 25,19.555213724237724,147810,True,single,1,2.4635
